Emotion,Timestamp
Neutral,2023-11-18 08:32:45
Neutral,2023-11-18 08:32:45
Sad,2023-11-18 08:32:45
Neutral,2023-11-18 08:32:45
Sad,2023-11-18 08:32:45
Sad,2023-11-18 08:32:45
Neutral,2023-11-18 08:32:45
Neutral,2023-11-18 08:32:45
Sad,2023-11-18 08:32:45
Neutral,2023-11-18 08:32:46
Neutral,2023-11-18 08:32:46
Happy,2023-11-18 08:32:46
Happy,2023-11-18 08:32:46
Neutral,2023-11-18 08:32:46
Happy,2023-11-18 08:32:46
Happy,2023-11-18 08:32:46
Happy,2023-11-18 08:32:46
Happy,2023-11-18 08:32:46
Sad,2023-11-18 08:32:46
Sad,2023-11-18 08:32:47
Happy,2023-11-18 08:32:47
Happy,2023-11-18 08:32:47
Happy,2023-11-18 08:32:47
Happy,2023-11-18 08:32:47
Happy,2023-11-18 08:32:47
Happy,2023-11-18 08:32:47
Happy,2023-11-18 08:32:47
Sad,2023-11-18 08:32:47
Happy,2023-11-18 08:32:47
Sad,2023-11-18 08:32:48
Sad,2023-11-18 08:32:48
Sad,2023-11-18 08:32:48
Sad,2023-11-18 08:32:48
Sad,2023-11-18 08:32:48
Sad,2023-11-18 08:32:48
Sad,2023-11-18 08:32:48
Sad,2023-11-18 08:32:48
Sad,2023-11-18 08:32:48
Sad,2023-11-18 08:32:48
Sad,2023-11-18 08:32:49
Sad,2023-11-18 08:32:49
Sad,2023-11-18 08:32:49
Sad,2023-11-18 08:32:49
Sad,2023-11-18 08:32:49
Sad,2023-11-18 08:32:49
Sad,2023-11-18 08:32:49
Happy,2023-11-18 08:32:49
Sad,2023-11-18 08:32:49
Sad,2023-11-18 08:32:49
Sad,2023-11-18 08:32:50
Sad,2023-11-18 08:32:50
Sad,2023-11-18 08:32:50
Sad,2023-11-18 08:32:50
Sad,2023-11-18 08:32:50
Sad,2023-11-18 08:32:50
Sad,2023-11-18 08:32:50
Sad,2023-11-18 08:32:50
Sad,2023-11-18 08:32:50
Sad,2023-11-18 08:32:50
Sad,2023-11-18 08:32:51
Sad,2023-11-18 08:32:51
Sad,2023-11-18 08:32:51
Sad,2023-11-18 08:32:51
Sad,2023-11-18 08:32:51
Sad,2023-11-18 08:32:51
Sad,2023-11-18 08:32:51
Happy,2023-11-18 08:32:51
Happy,2023-11-18 08:32:51
Happy,2023-11-18 08:32:51
Happy,2023-11-18 08:32:51
Happy,2023-11-18 08:32:52
Happy,2023-11-18 08:32:52
Happy,2023-11-18 08:32:52
Angry,2023-11-18 08:32:52
Angry,2023-11-18 08:32:52
Angry,2023-11-18 08:32:52
Happy,2023-11-18 08:32:52
Happy,2023-11-18 08:32:52
Happy,2023-11-18 08:32:52
Happy,2023-11-18 08:32:52
Happy,2023-11-18 08:32:53
Happy,2023-11-18 08:32:53
Happy,2023-11-18 08:32:53
Happy,2023-11-18 08:32:53
Happy,2023-11-18 08:32:53
Happy,2023-11-18 08:32:53
Happy,2023-11-18 08:32:53
Happy,2023-11-18 08:32:53
Happy,2023-11-18 08:32:53
Happy,2023-11-18 08:32:53
Happy,2023-11-18 08:32:54
Happy,2023-11-18 08:32:54
Happy,2023-11-18 08:32:54
Happy,2023-11-18 08:32:54
Happy,2023-11-18 08:32:54
Happy,2023-11-18 08:32:54
Happy,2023-11-18 08:32:54
Neutral,2023-11-18 08:32:54
Neutral,2023-11-18 08:32:54
Neutral,2023-11-18 08:32:54
Neutral,2023-11-18 08:32:55
Happy,2023-11-18 08:32:55
Happy,2023-11-18 08:32:55
Happy,2023-11-18 08:32:55
Happy,2023-11-18 08:32:55
